authors	year	title	journal	article	code	data
"Perkins, A.M., Patrick, F., Wise, T., Meyer, N., Mazibuko N., Oates, A.E., van der Bijl, A.H.M., "	2021	 Cholinergic Modulation of Disorder-Relevant Human 	 Translational Psychiatry	https://www.nature.com/articles/s41398-020-01141-5	-	-
"Danjou, P., O’Connor, S.M., Doolin, E., Wooldridge, C., Rathjen, D., Macare, C.,  Williams, "	2020	Defensive Behaviour in Generalised Anxiety Disorder	Nature Communications	https://www.nature.com/articles/s41467-020-17977-w	https://github.com/tobywise/online-aversive-learning	https://osf.io/b95w2/
"S.C.R., Young, A.H."	2020	Changes in risk perception and protective behavior during the first week of the COVID-19 pandemic in the United States	Royal Society Open Science	https://www.nature.com/articles/s41467-020-17977-w	https://github.com/tobywise/covid19-risk-perception	https://github.com/tobywise/covid19-risk-perception
"Valton, V., Wise, T., Robinson. O.J."	2020	Recommendations for Bayesian hierarchical model specifications for case-control studies in mental health	Machine Learning for Health (ML4H) at NeurIPS 2020	https://arxiv.org/abs/2011.01725	-	-
"Wise T.*, Patrick, F.*, Meyer M., Mazibuko, M., Oates A.E., van der Bijl, A.H.M, Danjou, P., O’Connor S.M., Doolin E., Wooldridge C., Rathjan, D., Macare, M., Williams, S.C.R., Perkins, A.M. & Young, A.H."	2020	Cholinergic Modulation of Disorder-Relevant Neural Circuits in Generalised Anxiety Disorder	Biological Psychiatry	https://www.sciencedirect.com/science/article/pii/S0006322319319377	-	-
"Herane-Vives, A., Arnone, D., de Angel, V., Papadopoulos, A., Wise, T., Alameda, L., Chua, K.-C., Young, A.H., Cleare, A.J."	2020	Cortisol levels in unmedicated patients with unipolar and bipolar major depression using hair and saliva specimens	International Journal of Bipolar Disorders	https://journalbipolardisorders.springeropen.com/articles/10.1186/s40345-020-0180-x	-	-
"Herane-Vives, A., Young, A.H., Wise, T., Aguirre, J., de Angel, V., Arnone, D., Papadopoulos, A., Cleare, A.J."	2020	Comparison of short-term (saliva) and long-term (hair) cortisol levels in out-patients with melancholic and non-melancholic major depression	BJPsych Open 	https://www.cambridge.org/core/product/identifier/S2056472420000083/type/journal_article	-	-
"Wise, T., Michely, J., Dayan, P., Dolan, R.J."	2019	A computational account of threat-related attentional bias	PLOS Computational Biology	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1007341	https://github.com/tobywise/attention-threat-learning	https://osf.io/b4e72/
"Marwood, L., Wise, T., Perkins, A. M., & Cleare, A. J."	2018	Meta-analyses of the neural mechanisms and predictors of response to psychotherapy in depression and anxiety		https://www.sciencedirect.com/science/article/pii/S0149763418301751	-	-
"Wise, T., Marwood, L., Perkins, A. M., Herane ? Vives, A., Williams, S. C. R., Young, A. H., … & Arnone, D."	2018	A morphometric signature of depressive symptoms in unmedicated patients with mood disorders	Acta Psychiatrica Scandinavica	https://onlinelibrary.wiley.com/doi/abs/10.1111/acps.12887	-	-
"Wise, T., Taylor, M. J., Herane-Vives, A., Gammazza, A. M., Cappello, F., Lythgoe, D. J., … & Arnone, D"	2018	Glutamatergic hypofunction in medication-free major depression: Secondary effects of affective diagnosis and relationship to peripheral glutaminase	Journal of affective disorders	https://pubmed.ncbi.nlm.nih.gov/29544167/	-	-
"Arnone, D.*, Wise, T.*, Walker, C., Cowen, P. J., Howes, O., & Selvaraj, S. "	2018	The effects of serotonin modulation on medial prefrontal connectivity strength and stability: A pharmacological fMRI study with citalopram	Progress in Neuro-Psychopharmacology and Biological Psychiatry	https://pubmed.ncbi.nlm.nih.gov/29409920/	-	-
"Herane?Vives, A., de Angel, V., Papadopoulos, A., Wise, T., Chua, K. C., Strawbridge, R., … & Cleare, A. J."	2018	Short?term and long?term measures of cortisol in saliva and hair in atypical and non?atypical depression.	Acta Psychiatrica Scandinavica	https://onlinelibrary.wiley.com/doi/abs/10.1111/acps.12852	-	-
"Herane-Vives, A., Fischer, S., de Angel, V., Wise, T., Cheung, E., Chua, K. C., … & Cleare, A. J"	2018	Elevated fingernail cortisol levels in major depressive episodes	Psychoneuroendocrinology	https://pubmed.ncbi.nlm.nih.gov/29153629/	-	-
"Wise, T.*, Marwood, L.*, Perkins, A.M., Herane, A., Joules, R., Lythgoe, D., Luh, W., Williams, S.C.R., Young, A.H., Cleare, A.J., Arnone, D. "	2017	Instability of Default Mode Dynamic Functional Connectivity in Major Depression: A Two-Sample Confirmation Study	Translational Psychiatry	https://www.nature.com/articles/tp201740	-	-
"Wise, T., Radua, J., Via, E., Cardoner, N., Abe, O., Adams, T. M., … & Arnone, D."	2017	Common and distinct patterns of grey-matter volume alteration in major depression and bipolar disorder: evidence from voxel-based meta-analysis	Molecular psychiatry	https://www.nature.com/articles/mp201672	-	-
"Wise, T, Arnone, D, Marwood, L, Zahn, R, Lythe, KE, Young, AH "	2016	Recruiting for research studies using online public advertisements: examples from research in affective disorders	Neuropsychiatric disease and treatment	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4751904/	-	-
"Wise, T, Radua, J, Nortje, G, Cleare, A J, Young, A H, & Arnone, D."	2016	Voxel-Based Meta-Analytical Evidence of Structural Disconnectivity in Major Depression and Bipolar Disorder	Biological Psychiatry	https://linkinghub.elsevier.com/retrieve/pii/S0006-3223(15)00195-X	-	-
"Herane-Vives, AH, De Angel, V, Papadopoulos, A, Strawbridge, R, Wise, T, Young, AH, Arnone, D and Cleare, AJ"	2015	" The relationship between cortisol, stress and psychiatric illness: New insights using hair analysis"	Journal of psychiatric research.	https://www.sciencedirect.com/science/article/abs/pii/S002239561500240X?via%3Dihub	-	-
"Wise, T, Cleare, AJ, Herane, A, Young, AH, & Arnone, D "	2016	Diagnostic and therapeutic utility of neuroimaging in depression: an overview	 Neuropsychiatric disease and treatment	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4149389/	-	-
